,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Female,"16,608","20,520","14,507","12,875","13,055","14,075","14,400","15,006","17,735","19,068","13,970","14,431","14,243","14,553","15,096","14,484","15,106","13,319","13,682","13,838","13,538","14,039","13,917","14,785","15,349","15,300","16,047","17,975","19,682","21,338","20,717","19,275","18,272","16,453","15,647","14,036","14,016","13,985","12,967","12,020","10,577"
Male,"92,470","106,394","70,582","66,515","65,578","64,900","65,911","69,542","79,562","83,574","65,430","67,530","63,768","64,103","64,991","65,657","65,151","60,734","62,837","61,696","60,432","60,274","59,831","62,089","63,833","62,991","65,366","70,086","74,950","77,992","74,290","67,416","62,468","57,966","52,840","49,363","50,326","50,159","47,391","44,667","41,087"
Organisation,"3,039","4,862","4,267","3,418","3,470","3,299","2,461","2,451","2,624","1,983","1,034",625,640,804,787,855,876,724,734,633,587,578,633,734,648,693,884,731,697,640,578,466,372,283,258,228,176,163,196,198,200
Unknown,"17,724","8,032","2,037","1,081",769,"1,097",927,"1,093",922,"1,085",702,641,670,"1,293","1,210","1,569","1,299",373,244,165,143,156,143,129,93,162,235,160,177,157,127,146,179,164,133,129,121,123,127,136,79
