ethnicity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
European,"36,971","37,617","31,778","32,155","33,107","33,273","34,078","34,867","38,064","37,934","32,770","34,080","31,553","31,931","32,152","32,343","31,666","30,799","31,708","30,996","30,091","30,140","30,523","32,872","33,894","33,067","35,425","38,660","41,514","45,141","43,058","38,578","35,316","31,676","27,861","25,380","25,356","24,887","23,143","21,220","19,557"
Māori,"15,173","15,916","15,497","16,093","17,058","17,887","19,309","20,210","22,847","23,650","21,069","22,161","21,489","22,811","23,281","23,850","24,171","24,181","25,545","25,727","25,756","26,233","25,759","27,578","29,091","29,001","30,776","33,202","36,085","38,204","36,913","34,378","32,233","30,321","28,364","27,300","28,231","28,368","26,638","25,043","23,451"
Pacific Peoples,"4,127","3,364","2,810","2,929","3,129","3,117","3,353","3,704","4,300","4,920","4,022","4,511","4,235","4,491","4,833","5,129","5,336","5,418","5,821","6,006","6,008","6,296","5,933","6,210","6,806","7,358","7,972","8,771","9,750","10,885","10,136","9,440","9,050","8,386","7,894","6,929","6,815","6,589","6,147","5,737","5,057"
Asian,276,311,245,254,293,293,300,358,463,559,510,606,635,643,758,803,960,965,"1,081","1,162","1,238","1,387","1,588","1,957","2,136","2,035","2,373","2,544","2,769","3,414","3,398","3,111","3,019","2,780","2,580","2,355","2,351","2,273","2,098","1,956","1,616"
Other,"10,616","11,670","11,965","9,814","10,142","10,213","9,072","7,528","8,331","7,504","5,434","5,732","6,323","7,850","9,233","8,107","8,654","3,771","3,533","3,684","3,585","3,865","4,169","6,322","8,126","4,503","2,473","2,416","2,389","2,495","2,217","2,010","1,804","1,633","1,441","1,324","1,284","1,254","1,165","1,055",987
Unknown,"63,459","71,845","29,967","23,609","20,198","19,757","18,847","22,761","28,408","32,843","18,894","17,810","16,788","14,879","13,758","14,410","13,905","12,330","12,343","11,424","10,740","10,134","9,755","6,867","5,569","8,735","9,205","9,329","9,370","6,797","6,403","5,610","5,338","5,048","5,212","4,716","4,800","5,147","5,247","5,400","4,500"
